title,date_published,author,source,comment_text,keyword_category,language
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-15,Unknown,YouTube,I think first aid and CPR needs a revamp. You gotta be kidding me with this shit.,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-15,Unknown,YouTube,"Never do this.

First thing you learn in first aid training, if it touches the floor it doesn't touch the patient.

Real method is to use 3 standard bandage rolls, 2 rolls still rolled up either side of penetrating object (knife in this case) and 3rd unwound to wrap around patient to hold everything in place.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-13,Unknown,YouTube,"First aid❌️
Last aid✅️",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-13,Unknown,YouTube,Imagine getting stabbed and your paramedic starts doing a stab wound first aid tutorial video for his TikTok then turns to you to asking “what’s next?”,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-11,Unknown,YouTube,Nah if i get stabbed and my paramedic be smiling like that while providing first aid ima pull that knife and stick it to his throat 😂 fk that creepy ass smile 🤣,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-11,Unknown,YouTube,"First aid 👎
First dead 👍",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-10,Unknown,YouTube,Ok i got my First aid bag 😂,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-10,Unknown,YouTube,"I hate seeing stabbing first aid videos where the knife is still in the person/dummy. That like almost never ever happens. As if a stabbing attack is a ""here, hold this"" moment.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-09,Unknown,YouTube,Sollte in Berlin zur Pflicht werden solch ein First Aid Kid dabei zuhaben,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-09,Unknown,YouTube,So no first aid. Just protection of the wound…….got it,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-08,Unknown,YouTube,Thats not first aid😂,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-08,Unknown,YouTube,"That’s it, I’m taking my first aid kit with me everywhere that doesn’t have this in 🤦🏻‍♀️🤣",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-06,Unknown,YouTube,"So many comments here that suggests far ""better"" first aid treatment than the real medic 🤷‍♀️",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-05,Unknown,YouTube,"Me-- doc i have been stabbed help me😢
Doc-- hold on let me finished my reels (first aid tutorial) 😅",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-04,Unknown,YouTube,"Measure the length of your extended fingers. 

Why did you go 2 in extra? 

Because my hand is not big enough. 

Also dude, that duct tape is not going to stick to anything once it gets soaked with the patient's blood. A better thing to do would be to wrap it in gauze to stop the bleeding and then tape around the gauze. Any first aid idiot knows that.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-03,Unknown,YouTube,I saw no first aid in this video,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-02-02,Unknown,YouTube,never even seen a Sam splint until now. they do not come standard in a first aid kit. and I don't carry one in my pocket.,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-01-31,Unknown,YouTube,What the fuck did you accomplish bud not a god damn thing my god this is why military first aid should be taught in school I had the absolute hardest course a sucking chest wound and let me be the first to tell you I passed with the highest score you can get yet you think putting a fuck ass splint is gonna help do not make anymore videos on this topic you're advice is gonna kill someone.,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-01-31,Unknown,YouTube,Bro so this means I have to take a first aid kid everywhere all the time?,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-01-31,Unknown,YouTube,First aid no kill aid yes,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-01-30,Unknown,YouTube,I remember when we used to be taught how to make a ring bandage for wounds like this from triangular bandages in first aid,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-01-29,Unknown,YouTube,"First aid ❌
First buy the things ✅",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-01-26,Unknown,YouTube,"Looks cool but is it any better than the bandage roll method? Serious question, cause when I took first aid class they thought us a different method of securing a stab wound.",health,en
First Aid For A Cut Wound,2026-01-24,Unknown,YouTube,"Doctor: So how did the cut occur? 
Him: I was doing a tutorial.
Doctor: A cooking tutorial, thats nice.
Him: No a first aid tutorial on a knife cut.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2026-01-23,Unknown,YouTube,If I had smiled like that while doing first aid I would also get stabbed,health,en
Off The Shelf “Wilderness” First Aid Kits,2026-01-17,Unknown,YouTube,"Benefit of sting relief wipes: my partner grew up in a house that hated camping and is very sensitive to bug bites. Also the first time I took em backpacking they got stung by like 8 wasps at once so, I always keep lots of sting relief and Benadryl for them. I think a big part of non-trauma first aid kits is letting you be able to focus on the fun parts of the outdoors",health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2026-01-09,Unknown,YouTube,Sir me online registration kri c first aid classes ke lyi or payment success ho gyi but 3 days ho gye login id or password nhi mila na hi koi mail ayi hai? Please bata do kya reason ho sakda hai,health,en
Gunshot Wound First Aid ⛑️ #emergency #goodtoknow #firstaid #vet #medicine #funfacts #surgeonlife,2026-01-08,Unknown,YouTube,"If its not an appocalypse DO NOT do this, just preform normal first aid and wait for the paramedics. This may cause infections",health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2025-12-31,Unknown,YouTube,Sir red cross society voluntarily se judne pr koi stipend bhi milta h kya,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-12-18,Unknown,YouTube,"Of course, the first aid kit includes adhesive tape. We're so lost.",health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2025-12-13,Unknown,YouTube,Mera first aid certificate expire ho gaya to kya ab wo renue ho sakta hai,health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2025-12-12,Unknown,YouTube,Sir mene red cross society m admission liya tha or abi tak classes bhi start nhi Hui h but m ab admission nhi Lena chahta too fees refund kase hoyegi 1500 fees h,health,en
First Aid on a Hot Water Injury ♨️🚑 #ambulance #emergency #paramedic #firstaid #hospital #nurse,2025-11-27,Unknown,YouTube,First aid on a hot water injury ♨️🚑,health,en
6 Things You Should Have in Your First Aid Kit 🩹❤️‍🩹With Wound Care Specialist Dr. Abdul Moosa,2025-11-27,Unknown,YouTube,first aid kit 🔋🩹❤️,health,en
Basic First Aid Training UK (Updated 2023),2025-11-23,Unknown,YouTube,"00:00:04 | What is First Aid? (Priorities of a First Aider)
00:01:58 | First Aid Legislation (Health and Safety at Work Act 1974)
00:04:06 | Accident Reporting and RIDDOR Requirements
00:06:20 | Standard First Aid Kit Provisions
00:08:27 | Responsibilities of a First Aider (Taking Charge, Consent, Communication)
00:11:55 | Prioritizing First Aid Treatment
00:12:28 | Cross-Contamination and Infection Control
00:13:22 | The Primary Survey (Dr ABC)
00:17:02 | Recovery Position (and Demonstration)
00:21:40 | Secondary Assessment (History, Signs & Symptoms)
00:23:22 | The Respiratory System
00:24:02 | Adult CPR and AED Use
00:33:38 | Pediatric CPR and AED Use (Child and Baby)
00:41:11 | Disorders of Respiration (Choking Treatment)
00:45:32 | Disorders of Circulation (Shock, Fainting)
00:50:28 | General Bleeding and Wound Treatment
00:55:45 | Treating a Foreign Body Stuck in a Wound
00:57:39 | Amputations
01:01:02 | Seizures (Epilepsy - Tonic Clonic and Focal)
01:05:18 | Minor Burns and Scalds
01:09:02 | Other Foreign Objects (Splinters, Swallowing)",health,en
First Aid on a Finger Wound 🩸🩹 #ambulance #paramedic #firstaid #emergency #hospital #nurse,2025-11-20,Unknown,YouTube,First aid sabko sikhani chyie🎉🎉,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-11-17,Unknown,YouTube,What if it is a bullet not knife?? What is the first aid??,health,en
6 Things You Should Have in Your First Aid Kit 🩹❤️‍🩹With Wound Care Specialist Dr. Abdul Moosa,2025-11-06,Unknown,YouTube,first aid kit 🔋,health,en
Off The Shelf “Wilderness” First Aid Kits,2025-11-05,Unknown,YouTube,"The fact you can have antibiotics in a first aid kit seems wild to me. Where I live you need a prescription for a doctor for any type of antibiotics and it is illegal to sell to people without a prescription. Professional medical associations even go out publicly to tell people to return unused antibiotics to prevent it from going out into the environment. You're not supposed to have it unless you need it right now.

Antibiotic resistance is a super scary thing, and I hope more countries implement stricter regulations. Those who don't put the rest of us (and especially future generations) at harm.",health,en
First Aid if somebody is chocking 🆘🚑 #ambulance #paramedic #firstaid #emergency #helpingsavelives,2025-10-03,Unknown,YouTube,Thank you for all..i have been looking for someone who teaches me to perform first aid simply until i found your channel🤍,health,en
First Aid on a Hot Water Injury ♨️🚑 #ambulance #emergency #paramedic #firstaid #hospital #nurse,2025-10-02,Unknown,YouTube,"Please always name every item you use, not everyone is a medic like you, but may need first aid",health,en
First Aid on a Hot Water Injury ♨️🚑 #ambulance #emergency #paramedic #firstaid #hospital #nurse,2025-09-26,Unknown,YouTube,"I Love your Videos, because it‘s really good to know something about First aid.",health,en
First Aid on a Finger Wound 🩸🩹 #ambulance #paramedic #firstaid #emergency #hospital #nurse,2025-09-25,Unknown,YouTube,"Thanks for adding VALUE to my LIFE.
I'M LEARNING. 
Please Lectures me more FIRST AID TREATMENT.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-09-23,Unknown,YouTube,I would die in mean time 😀 First aid should be easy and quick 😊,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-09-19,Unknown,YouTube,First aid ❎ Last aid ☑️,health,en
Basic First Aid Training UK (Updated 2023),2025-09-14,Unknown,YouTube,thank you teacher for this infromation and also for help me learn first aid and improve my skills,health,en
First Aid on a Finger Wound 🩸🩹 #ambulance #paramedic #firstaid #emergency #hospital #nurse,2025-09-14,Unknown,YouTube,I make first aid at home❤❤,health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2025-08-07,Unknown,YouTube,Sir kya first aid certificate renewal b ho sakta hai kya or kese hoga,health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2025-07-24,Unknown,YouTube,sir  first aid box  ke liye apply kiya tha aur payment mode par pyment deducted ho gaya tha lekin payment recipt nhi aya aur server error a gaya h he,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-07-19,Unknown,YouTube,"First aid ❌
Origami ✅",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-07-17,Unknown,YouTube,5 minute crafts ahh first aid,health,en
Off The Shelf “Wilderness” First Aid Kits,2025-06-26,Unknown,YouTube,"I bought a adventure medical kit on sale for 25 dollars several years ago it was for group outings. I believe it was one of the expensive ones around 100-200$ , found it at Marshalls clearance. And I found it to be quite good for a basic first aid and minor trauma. Came with sam splint and gauze suitable for light to moderate bleeding and had stuff for boo-boos . Came with a CPR mask. It was a really complete first aid kit. Idk about the quality nowadays. I was fresh out of medic school and added a tourniquet and quickclot. Along with pressure bandage and it just needed some chest seals.",health,en
Gunshot Wound First Aid ⛑️ #emergency #goodtoknow #firstaid #vet #medicine #funfacts #surgeonlife,2025-06-21,Unknown,YouTube,Wow! This is not the reason why I was told to put candy inside my first aid kit but I like it. Lol,health,en
Is A Pet-Specific First Aid Kit Worth It? | The Pack,2025-06-17,Unknown,YouTube,Uhhhh yeah most of those are very similar to human first aid supplies and they're as strictly quality controlled as human equivalents,health,en
Is A Pet-Specific First Aid Kit Worth It? | The Pack,2025-06-16,Unknown,YouTube,"I like your Pet First Aid Kit so much, cheers 😘🐾✨🤗🙏❣️",health,en
Is A Pet-Specific First Aid Kit Worth It? | The Pack,2025-06-16,Unknown,YouTube,I hope your pet has a human first aid kit!  😉,health,en
Is A Pet-Specific First Aid Kit Worth It? | The Pack,2025-06-16,Unknown,YouTube,"Never showed us what's inside the human first aid kit, love.",health,en
Is A Pet-Specific First Aid Kit Worth It? | The Pack,2025-06-16,Unknown,YouTube,"My guys have a pet first aid kit that goes on all trips. I don't have tongue depressers in it though,  so zi might add some.",health,en
Is A Pet-Specific First Aid Kit Worth It? | The Pack,2025-06-16,Unknown,YouTube,Not pet but dog first aid,health,en
"Gaza is &#39;worse than hell on Earth&#39;, International Red Cross chief tells BBC | BBC News",2025-06-05,Unknown,YouTube,International red cross lying 🤥,other,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-05-20,Unknown,YouTube,"These things are usually not in first aid kits, simply ❗DO NOT MOVE WITH THE OBJECT, AND MOST IMPORTANTLY DO NOT TAKE THEM OUT, ALWAYS WEAR GLOVES WHEN SOMEONE IS BLEEDING, IF YOU DON'T HAVE TAKE SOMETHING ELSE❗, put a sterile dressing around the object, and 2 rolled bandages, that's all, ❗ALWAYS COMMUNICATE❗",health,en
World Red Cross and Red Crescent Day 2025,2025-05-07,Unknown,YouTube,The International Red Cross has been my favorite humanitarian organization since I was attending elementary school in Poland. As a child I used to donate my pocket money to the Polish Red Cross (PCK). Thank you so much for all your humanitarian efforts and for helping make the world a better place for so many people while risking your own lives. It is very sad to hear that people die while helping others. You deserve the highest recognition!  Sending you much love! 💕 May God bless you all and keep you safe! 🙌,other,en
Gunshot Wound First Aid ⛑️ #emergency #goodtoknow #firstaid #vet #medicine #funfacts #surgeonlife,2025-05-03,Unknown,YouTube,"If you are in a public venue or office, look for the AEDs. Many places are now putting Stop The Bleed kits, which contain packing material and regular gauze as well as gloves and other equipment. 

If you’re able, take a Stop The Bleed course to learn more first aid",health,en
Gunshot Wound First Aid ⛑️ #emergency #goodtoknow #firstaid #vet #medicine #funfacts #surgeonlife,2025-05-02,Unknown,YouTube,"Cheap item that peeps should have in a first aid kit. A good garbage bag, it works wonders as a non-adhesive occlusive dressing. Use some sheers to cut down to size and takes up very little space in a bag.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-04-16,Unknown,YouTube,its a first aid on a stsb wound,health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2025-04-05,Unknown,YouTube,Sir Ma haryana sa hu  lakin aabi Delhi rah raha hu kay ma delhi sa kar sakta hu first aid training apply,health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2025-04-02,Unknown,YouTube,Sir muje online krna h first aid course 7 day ka ho skta h kya or pls phne nmbr b de do sir apne,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-03-28,Unknown,YouTube,Yea cause everyone caries that with them just in case there's a stabbing.... First aid.... Not really,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-03-23,Unknown,YouTube,You can use bandages if youre taking this long to craft something to splint it it puts the persons life at risk speed is part of first aid,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-03-16,Unknown,YouTube,"Let me ask you something, who on earth would leave a knife inside you when they stab you??? It would make more sense to make first aid tutorials on what to do when there is no knife because there wouldnt be one.",health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-03-15,Unknown,YouTube,Who got that in their first aid box definitely not me 😂,health,en
First Aid on a Stab Wound 🚑🔪 #paramedic #ambulance #firstaid #emergency #hospital #nurse,2025-03-15,Unknown,YouTube,"Bro: YO BRO I GOT STAPPED MAN HELP ME
First aid: 🤙🏼 ait bro i got this",health,en
FIRST AID COURSE || First aid online apply kaise kare || Registration Red Cross society,2025-03-14,Unknown,YouTube,Sir hm rajsthan se hu first Aid apply kar diya h per batch show nhi ho rha sir ye online class lagegi kya home se,health,en
First Aid for Snake Bites 🐍🚑 #ambulance #paramedic #firstaid #emergency #hospital #nurse #survival,2025-03-07,Unknown,YouTube,Do first aid for a broken leg pls,health,en
First Aid on an Abrasion 🩸🚑 #ambulance #paramedic #firstaid #emergency #hospital #nurse //Ad,2025-02-21,Unknown,YouTube,"Hello. Very good that youre making first aid videos, but this is partly incorrect. With an abrasion, theres sand and dirt in the wound what you want to get out. Thats why you need to use water straight out of the tap (whaat also the instruction says) because it kind of sprays the dirt out. Covering it is correct tho.",health,en
First Aid on a Finger Wound 🩸🩹 #ambulance #paramedic #firstaid #emergency #hospital #nurse,2025-02-07,Unknown,YouTube,"Its also important to know that without this first aid, most of the pt probably won't make it. So shout-out to all paramedics 🌹❤",health,en
6 Things You Should Have in Your First Aid Kit 🩹❤️‍🩹With Wound Care Specialist Dr. Abdul Moosa,2025-02-05,Unknown,YouTube,"Use hand sanitizer, then put on loose gloves found in first aid kit to keep everything sanitary? So know the gloves are to help keep helper's germs away from the person's wound, and also the person's blood and germs away from the helper, but are the outside of the loose gloves stored in a box really considered sanitary?",health,en
6 Things You Should Have in Your First Aid Kit 🩹❤️‍🩹With Wound Care Specialist Dr. Abdul Moosa,2025-01-30,Unknown,YouTube,"#1 in your First Aid kit should be $200.00 American dollars just in case you need to see a doctor.  #2 $1,000.00 dollars in case you have to go to the Emergency Room.  LOL",health,en
First Aid if somebody is chocking 🆘🚑 #ambulance #paramedic #firstaid #emergency #helpingsavelives,2025-01-20,Unknown,YouTube,I saved someone once who was choking. Even if I never accomplish anything else in life I know I changed someone else's for the good forever. Knowing first aid rocks.,health,en
First Aid on an Abrasion 🩸🚑 #ambulance #paramedic #firstaid #emergency #hospital #nurse //Ad,2025-01-13,Unknown,YouTube,First u need first aid kit😅😂,health,en
First Aid on an Abrasion 🩸🚑 #ambulance #paramedic #firstaid #emergency #hospital #nurse //Ad,2025-01-06,Unknown,YouTube,"Hi I would ask everyone what should be in first aid kit, which you can take with you everywhere and everyday, it means you fit it in backpack or in handbag and you still have enough space, simply something small with elementary things u need for help. Thanks for your ideas",health,en
Indian Red Cross society national health agency in Hindi || indian red cross society history||,2024-11-27,Unknown,YouTube,Kindly send me con. No of Gurdaspur of Red Cross Society.,other,en
First Aid on a Deep Cut! 🚑🩸#ambulance #paramedic #emergency #firstaid #nurse #hospital,2024-11-19,Unknown,YouTube,😅 First Aid good job,health,en
